#JobID,ModelFile,bldgtype,vint,location,cz,orientation,ac_scenario,ac,CoolRoof,CoolWall,InsRoof,InsWall,LowEWin,SolarWin,CeilingFan,CeilingFan_NoSetback,FixedExteriorShading,OperableWindowShading,NV_WindowOpen,NV_OperationSchd,EnvelopePackage,WindowPackage,sizing,weather
BaseCase_Fixed,main.imf,SF,oldest,Waingapu,nan,South,1,Cooled,0,0,0,0,0,0,0,0,0,0,0,0,0,Clear,fixed,TMY
Cooled_CoolRoof_Case1,main.imf,SF,oldest,Waingapu,nan,South,1,Cooled,1,0,0,0,0,0,0,0,0,0,0,0,0,Clear,fixed,TMY
Cooled_CoolRoof_Case2,main.imf,SF,oldest,Waingapu,nan,South,1,Cooled,2,0,0,0,0,0,0,0,0,0,0,0,0,Clear,fixed,TMY
Cooled_CoolWall_Case1,main.imf,SF,oldest,Waingapu,nan,South,1,Cooled,0,1,0,0,0,0,0,0,0,0,0,0,0,Clear,fixed,TMY
Cooled_CoolWall_Case2,main.imf,SF,oldest,Waingapu,nan,South,1,Cooled,0,2,0,0,0,0,0,0,0,0,0,0,0,Clear,fixed,TMY
Cooled_InsRoof_Case1,main.imf,SF,oldest,Waingapu,nan,South,1,Cooled,0,0,1,0,0,0,0,0,0,0,0,0,1,Clear,fixed,TMY
Cooled_InsRoof_Case2,main.imf,SF,oldest,Waingapu,nan,South,1,Cooled,0,0,2,0,0,0,0,0,0,0,0,0,1,Clear,fixed,TMY
Cooled_InsWall_Case1,main.imf,SF,oldest,Waingapu,nan,South,1,Cooled,0,0,0,1,0,0,0,0,0,0,0,0,1,Clear,fixed,TMY
Cooled_InsWall_Case2,main.imf,SF,oldest,Waingapu,nan,South,1,Cooled,0,0,0,2,0,0,0,0,0,0,0,0,1,Clear,fixed,TMY
Cooled_LowEWin_Case1,main.imf,SF,oldest,Waingapu,nan,South,1,Cooled,0,0,0,0,1,0,0,0,0,0,0,0,0,LowE,fixed,TMY
Cooled_LowEWin_Case2,main.imf,SF,oldest,Waingapu,nan,South,1,Cooled,0,0,0,0,2,0,0,0,0,0,0,0,0,LowE,fixed,TMY
