location,orientation,ac_scenario,case_name,case_id,floor_area,end_use,Electricity [kWh]
Balikpapan,South,Bedroom_AC_Only,Baseline,1,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,Baseline,1,28.76,Cooling,464.83
Balikpapan,South,Bedroom_AC_Only,Baseline,1,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,Baseline,1,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,Baseline,1,28.76,Fans,30.82
Balikpapan,South,Bedroom_AC_Only,Baseline,1,28.76,Total End Uses,3173.0
Balikpapan,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Cooling,436.07
Balikpapan,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Fans,28.89
Balikpapan,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Total End Uses,3142.31
Balikpapan,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Cooling,398.12
Balikpapan,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Fans,26.35
Balikpapan,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Total End Uses,3101.81
Balikpapan,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Cooling,421.78
Balikpapan,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Fans,27.94
Balikpapan,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Total End Uses,3127.06
Balikpapan,South,Bedroom_AC_Only,CoolWall_2,5,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,CoolWall_2,5,28.76,Cooling,366.2
Balikpapan,South,Bedroom_AC_Only,CoolWall_2,5,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,CoolWall_2,5,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,CoolWall_2,5,28.76,Fans,24.22
Balikpapan,South,Bedroom_AC_Only,CoolWall_2,5,28.76,Total End Uses,3067.76
Balikpapan,South,Bedroom_AC_Only,InsRoof_1,6,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,InsRoof_1,6,28.76,Cooling,388.05
Balikpapan,South,Bedroom_AC_Only,InsRoof_1,6,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,InsRoof_1,6,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,InsRoof_1,6,28.76,Fans,25.68
Balikpapan,South,Bedroom_AC_Only,InsRoof_1,6,28.76,Total End Uses,3091.07
Balikpapan,South,Bedroom_AC_Only,InsRoof_2,7,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,InsRoof_2,7,28.76,Cooling,366.02
Balikpapan,South,Bedroom_AC_Only,InsRoof_2,7,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,InsRoof_2,7,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,InsRoof_2,7,28.76,Fans,24.2
Balikpapan,South,Bedroom_AC_Only,InsRoof_2,7,28.76,Total End Uses,3067.56
Balikpapan,South,Bedroom_AC_Only,InsWall_1,8,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,InsWall_1,8,28.76,Cooling,412.45
Balikpapan,South,Bedroom_AC_Only,InsWall_1,8,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,InsWall_1,8,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,InsWall_1,8,28.76,Fans,27.31
Balikpapan,South,Bedroom_AC_Only,InsWall_1,8,28.76,Total End Uses,3117.1
Balikpapan,South,Bedroom_AC_Only,InsWall_2,9,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,InsWall_2,9,28.76,Cooling,412.45
Balikpapan,South,Bedroom_AC_Only,InsWall_2,9,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,InsWall_2,9,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,InsWall_2,9,28.76,Fans,27.31
Balikpapan,South,Bedroom_AC_Only,InsWall_2,9,28.76,Total End Uses,3117.1
Balikpapan,South,Bedroom_AC_Only,LowEWin_1,10,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,LowEWin_1,10,28.76,Cooling,411.2
Balikpapan,South,Bedroom_AC_Only,LowEWin_1,10,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,LowEWin_1,10,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,LowEWin_1,10,28.76,Fans,27.23
Balikpapan,South,Bedroom_AC_Only,LowEWin_1,10,28.76,Total End Uses,3115.78
Balikpapan,South,Bedroom_AC_Only,LowEWin_2,11,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,LowEWin_2,11,28.76,Cooling,404.37
Balikpapan,South,Bedroom_AC_Only,LowEWin_2,11,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,LowEWin_2,11,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,LowEWin_2,11,28.76,Fans,26.78
Balikpapan,South,Bedroom_AC_Only,LowEWin_2,11,28.76,Total End Uses,3108.48
Balikpapan,South,Bedroom_AC_Only,SolarWin_1,12,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,SolarWin_1,12,28.76,Cooling,407.08
Balikpapan,South,Bedroom_AC_Only,SolarWin_1,12,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,SolarWin_1,12,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,SolarWin_1,12,28.76,Fans,26.95
Balikpapan,South,Bedroom_AC_Only,SolarWin_1,12,28.76,Total End Uses,3111.37
Balikpapan,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Cooling,381.14
Balikpapan,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Fans,25.22
Balikpapan,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Total End Uses,3083.7
Balikpapan,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Cooling,70.96
Balikpapan,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Fans,4.62
