location,case_name,case_id,floor_area,end_use,Electricity [kWh]
JAKARTA,Baseline,1,28.76,Heating,0.0
JAKARTA,Baseline,1,28.76,Cooling,0.0
JAKARTA,Baseline,1,28.76,Interior Lighting,501.28
JAKARTA,Baseline,1,28.76,Interior Equipment,2176.06
JAKARTA,Baseline,1,28.76,Fans,0.0
JAKARTA,Baseline,1,28.76,Total End Uses,2677.34
JAKARTA,CoolRoof_1,2,28.76,Heating,0.0
JAKARTA,CoolRoof_1,2,28.76,Cooling,0.0
JAKARTA,CoolRoof_1,2,28.76,Interior Lighting,501.28
JAKARTA,CoolRoof_1,2,28.76,Interior Equipment,2176.06
JAKARTA,CoolRoof_1,2,28.76,Fans,0.0
JAKARTA,CoolRoof_1,2,28.76,Total End Uses,2677.34
JAKARTA,CoolRoof_2,3,28.76,Heating,0.0
JAKARTA,CoolRoof_2,3,28.76,Cooling,0.0
JAKARTA,CoolRoof_2,3,28.76,Interior Lighting,501.28
JAKARTA,CoolRoof_2,3,28.76,Interior Equipment,2176.06
JAKARTA,CoolRoof_2,3,28.76,Fans,0.0
JAKARTA,CoolRoof_2,3,28.76,Total End Uses,2677.34
JAKARTA,CoolWall_1,4,28.76,Heating,0.0
JAKARTA,CoolWall_1,4,28.76,Cooling,0.0
JAKARTA,CoolWall_1,4,28.76,Interior Lighting,501.28
JAKARTA,CoolWall_1,4,28.76,Interior Equipment,2176.06
JAKARTA,CoolWall_1,4,28.76,Fans,0.0
JAKARTA,CoolWall_1,4,28.76,Total End Uses,2677.34
JAKARTA,CoolWall_2,5,28.76,Heating,0.0
JAKARTA,CoolWall_2,5,28.76,Cooling,0.0
JAKARTA,CoolWall_2,5,28.76,Interior Lighting,501.28
JAKARTA,CoolWall_2,5,28.76,Interior Equipment,2176.06
JAKARTA,CoolWall_2,5,28.76,Fans,0.0
JAKARTA,CoolWall_2,5,28.76,Total End Uses,2677.34
JAKARTA,InsRoof_1,6,28.76,Heating,0.0
JAKARTA,InsRoof_1,6,28.76,Cooling,0.0
JAKARTA,InsRoof_1,6,28.76,Interior Lighting,501.28
JAKARTA,InsRoof_1,6,28.76,Interior Equipment,2176.06
JAKARTA,InsRoof_1,6,28.76,Fans,0.0
JAKARTA,InsRoof_1,6,28.76,Total End Uses,2677.34
