location,orientation,ac_scenario,case_name,case_id,floor_area,end_use,Electricity [kWh]
Jakarta,South,Bedroom_AC_Only,Baseline,1,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,Baseline,1,28.76,Cooling,461.04
Jakarta,South,Bedroom_AC_Only,Baseline,1,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,Baseline,1,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,Baseline,1,28.76,Fans,30.99
Jakarta,South,Bedroom_AC_Only,Baseline,1,28.76,Total End Uses,3169.38
Jakarta,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Cooling,422.17
Jakarta,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Fans,28.36
Jakarta,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Total End Uses,3127.87
Jakarta,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Cooling,371.96
Jakarta,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Fans,24.97
Jakarta,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Total End Uses,3074.27
Jakarta,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Cooling,400.14
Jakarta,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Fans,26.93
Jakarta,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Total End Uses,3104.41
Jakarta,South,Bedroom_AC_Only,CoolWall_2,5,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,CoolWall_2,5,28.76,Cooling,334.49
Jakarta,South,Bedroom_AC_Only,CoolWall_2,5,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,CoolWall_2,5,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,CoolWall_2,5,28.76,Fans,22.49
Jakarta,South,Bedroom_AC_Only,CoolWall_2,5,28.76,Total End Uses,3034.32
Jakarta,South,Bedroom_AC_Only,InsRoof_1,6,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,InsRoof_1,6,28.76,Cooling,359.99
Jakarta,South,Bedroom_AC_Only,InsRoof_1,6,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,InsRoof_1,6,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,InsRoof_1,6,28.76,Fans,24.18
Jakarta,South,Bedroom_AC_Only,InsRoof_1,6,28.76,Total End Uses,3061.51
Jakarta,South,Bedroom_AC_Only,InsRoof_2,7,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,InsRoof_2,7,28.76,Cooling,333.46
Jakarta,South,Bedroom_AC_Only,InsRoof_2,7,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,InsRoof_2,7,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,InsRoof_2,7,28.76,Fans,22.38
Jakarta,South,Bedroom_AC_Only,InsRoof_2,7,28.76,Total End Uses,3033.18
Jakarta,South,Bedroom_AC_Only,InsWall_1,8,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,InsWall_1,8,28.76,Cooling,390.73
Jakarta,South,Bedroom_AC_Only,InsWall_1,8,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,InsWall_1,8,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,InsWall_1,8,28.76,Fans,26.25
Jakarta,South,Bedroom_AC_Only,InsWall_1,8,28.76,Total End Uses,3094.32
Jakarta,South,Bedroom_AC_Only,InsWall_2,9,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,InsWall_2,9,28.76,Cooling,390.73
Jakarta,South,Bedroom_AC_Only,InsWall_2,9,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,InsWall_2,9,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,InsWall_2,9,28.76,Fans,26.25
Jakarta,South,Bedroom_AC_Only,InsWall_2,9,28.76,Total End Uses,3094.32
Jakarta,South,Bedroom_AC_Only,LowEWin_1,10,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,LowEWin_1,10,28.76,Cooling,393.37
Jakarta,South,Bedroom_AC_Only,LowEWin_1,10,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,LowEWin_1,10,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,LowEWin_1,10,28.76,Fans,26.46
Jakarta,South,Bedroom_AC_Only,LowEWin_1,10,28.76,Total End Uses,3097.17
Jakarta,South,Bedroom_AC_Only,LowEWin_2,11,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,LowEWin_2,11,28.76,Cooling,386.35
Jakarta,South,Bedroom_AC_Only,LowEWin_2,11,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,LowEWin_2,11,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,LowEWin_2,11,28.76,Fans,25.99
Jakarta,South,Bedroom_AC_Only,LowEWin_2,11,28.76,Total End Uses,3089.68
Jakarta,South,Bedroom_AC_Only,SolarWin_1,12,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,SolarWin_1,12,28.76,Cooling,387.91
Jakarta,South,Bedroom_AC_Only,SolarWin_1,12,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,SolarWin_1,12,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,SolarWin_1,12,28.76,Fans,26.08
Jakarta,South,Bedroom_AC_Only,SolarWin_1,12,28.76,Total End Uses,3091.33
Jakarta,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Cooling,355.0
Jakarta,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Fans,23.87
Jakarta,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Total End Uses,3056.21
Jakarta,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Cooling,99.64
Jakarta,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Fans,6.51
Jakarta,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Total End Uses,2783.5
Jakarta,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Cooling,41.22
Jakarta,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Fans,2.63
Jakarta,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Total End Uses,2721.19
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Cooling,461.04
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Fans,30.99
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Total End Uses,3169.38
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Heating,0.0
