location,orientation,ac_scenario,Baseline,CeilingFan_1,CeilingFan_2,CeilingFan_NoSetback_1,CeilingFan_NoSetback_2,CoolRoof_1,CoolRoof_2,CoolWall_1,CoolWall_2,HybridNV_OperationSchd_1,HybridNV_OperationSchd_2,HybridNV_WindowOpen_1,HybridNV_WindowOpen_2,InsRoof_1,InsRoof_2,InsWall_1,InsWall_2,LowEWin_1,LowEWin_2,Overhang_1,Shade_1,Shade_2,SolarWin_1,SolarWin_2,Baseline_savings_kwh,Baseline_savings_pct,CeilingFan_1_savings_kwh,CeilingFan_1_savings_pct,CeilingFan_2_savings_kwh,CeilingFan_2_savings_pct,CeilingFan_NoSetback_1_savings_kwh,CeilingFan_NoSetback_1_savings_pct,CeilingFan_NoSetback_2_savings_kwh,CeilingFan_NoSetback_2_savings_pct,CoolRoof_1_savings_kwh,CoolRoof_1_savings_pct,CoolRoof_2_savings_kwh,CoolRoof_2_savings_pct,CoolWall_1_savings_kwh,CoolWall_1_savings_pct,CoolWall_2_savings_kwh,CoolWall_2_savings_pct,HybridNV_OperationSchd_1_savings_kwh,HybridNV_OperationSchd_1_savings_pct,HybridNV_OperationSchd_2_savings_kwh,HybridNV_OperationSchd_2_savings_pct,HybridNV_WindowOpen_1_savings_kwh,HybridNV_WindowOpen_1_savings_pct,HybridNV_WindowOpen_2_savings_kwh,HybridNV_WindowOpen_2_savings_pct,InsRoof_1_savings_kwh,InsRoof_1_savings_pct,InsRoof_2_savings_kwh,InsRoof_2_savings_pct,InsWall_1_savings_kwh,InsWall_1_savings_pct,InsWall_2_savings_kwh,InsWall_2_savings_pct,LowEWin_1_savings_kwh,LowEWin_1_savings_pct,LowEWin_2_savings_kwh,LowEWin_2_savings_pct,Overhang_1_savings_kwh,Overhang_1_savings_pct,Shade_1_savings_kwh,Shade_1_savings_pct,Shade_2_savings_kwh,Shade_2_savings_pct,SolarWin_1_savings_kwh,SolarWin_1_savings_pct,SolarWin_2_savings_kwh,SolarWin_2_savings_pct
Balikpapan,South,Bedroom_AC_Only,495.65,75.58,13.260000000000002,495.65,495.65,464.96,424.47,449.71999999999997,390.41999999999996,478.09999999999997,478.09999999999997,462.81,462.76,413.73,390.21999999999997,439.76,439.76,438.43,431.15,474.09000000000003,473.92,426.62,434.03,406.36,0,0,420.07,0.8475133662866943,482.39,0.9732472510844346,0.0,0.0,0.0,0.0,30.689999999999998,0.061918692625844846,71.17999999999995,0.14360940179562182,45.93000000000001,0.09266619590436802,105.23000000000002,0.21230707152224357,17.55000000000001,0.0354080500353072,17.55000000000001,0.0354080500353072,32.839999999999975,0.0662564309492585,32.889999999999986,0.06635730858468675,81.91999999999996,0.1652779178856047,105.43,0.21271058206395643,55.889999999999986,0.11276102088167052,55.889999999999986,0.11276102088167052,57.21999999999997,0.11544436598406128,64.5,0.130132149702411,21.559999999999945,0.043498436396650755,21.72999999999996,0.04384142035710675,69.02999999999997,0.13927166347220815,61.620000000000005,0.1243215979017452,89.28999999999996,0.18014728134772515
Balikpapan,South,FullHouse_AC,664.9100000000001,103.71000000000001,18.55,664.9100000000001,664.9100000000001,621.47,564.34,602.07,521.45,646.93,646.92,625.7600000000001,625.69,548.27,515.34,584.8399999999999,584.8399999999999,586.56,576.7199999999999,635.74,636.4300000000001,573.64,580.56,543.1,0,0,561.2,0.84402400324856,646.3600000000001,0.9721014874193501,0.0,0.0,0.0,0.0,43.440000000000055,0.06533215021581876,100.57000000000005,0.15125355311245137,62.84000000000003,0.09450903129746886,143.46000000000004,0.2157585237099758,17.980000000000132,0.02704125370350894,17.990000000000123,0.027056293332932458,39.14999999999998,0.05888014919312384,39.22000000000003,0.05898542659908863,116.6400000000001,0.17542223759606576,149.57000000000005,0.22494773728775327,80.07000000000016,0.12042231279421298,80.07000000000016,0.12042231279421298,78.35000000000014,0.11783549653336561,88.19000000000017,0.13263449188612017,29.170000000000073,0.043870599028440045,28.480000000000018,0.04283286459821632,91.2700000000001,0.1372666977485676,84.35000000000014,0.12685927418748422,121.81000000000006,0.18319772600803122
Balikpapan,South,No_AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
Balikpapan,West,Bedroom_AC_Only,620.92,156.87,55.050000000000004,620.92,620.92,584.71,538.19,551.46,469.67,596.13,596.13,575.76,575.64,529.25,505.06,557.28,557.28,539.83,530.7,590.75,621.5400000000001,532.39,534.06,495.67,0,0,464.04999999999995,0.7473587579720414,565.87,0.9113412355859049,0.0,0.0,0.0,0.0,36.20999999999992,0.05831669136120583,82.7299999999999,0.13323777620305338,69.45999999999992,0.111866262964633,151.24999999999994,0.2435901565419055,24.789999999999964,0.039924627971397224,24.789999999999964,0.039924627971397224,45.15999999999997,0.07273078657475998,45.27999999999997,0.07292404818656184,91.66999999999996,0.14763576628229075,115.85999999999996,0.1865940861946788,63.639999999999986,0.10249307479224375,63.639999999999986,0.10249307479224375,81.08999999999992,0.1305965341750949,90.21999999999991,0.14530052180635172,30.16999999999996,0.04858919023384649,-0.6200000000001182,-0.000998518327643043,88.52999999999997,0.14257875410680923,86.86000000000001,0.1398891966759003,125.24999999999994,0.20171680731817296
Balikpapan,West,FullHouse_AC,876.93,230.67000000000002,83.92999999999999,876.93,876.93,823.46,754.89,778.43,658.93,850.1700000000001,850.1600000000001,821.23,821.09,739.7900000000001,703.71,781.64,781.64,761.46,748.03,834.76,879.02,755.76,752.9599999999999,697.1999999999999,0,0,646.26,0.7369573398104752,793.0,0.9042911064737209,0.0,0.0,0.0,0.0,53.469999999999914,0.060974080029192655,122.03999999999996,0.13916732236324447,98.5,0.11232367463765637,218.0,0.2485945286396862,26.759999999999877,0.030515548561458588,26.769999999999868,0.030526951980203516,55.69999999999993,0.06351704240931424,55.83999999999992,0.06367669027174339,137.13999999999987,0.15638648466810337,173.2199999999999,0.19753001949984597,95.28999999999996,0.10866317722053068,95.28999999999996,0.10866317722053068,115.46999999999991,0.131675276247819,128.89999999999998,0.14699006762227315,42.16999999999996,0.04808821684741081,-2.090000000000032,-0.0023833145176924407,121.16999999999996,0.1381752249324347,123.97000000000003,0.1413681821810179,179.73000000000002,0.20495364510280184
Balikpapan,West,No_AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
Jakarta,South,Bedroom_AC_Only,492.03000000000003,106.15,43.85,492.03000000000003,492.03000000000003,450.53000000000003,396.92999999999995,427.07,356.98,431.93,431.82,391.86,391.64,384.17,355.84,416.98,416.98,419.83,412.34000000000003,458.90000000000003,490.45,412.89,413.99,378.87,0,0,385.88,0.7842611222892912,448.18,0.9108794179216714,0.0,0.0,0.0,0.0,41.5,0.08434445054163364,95.10000000000008,0.19328089750624977,64.96000000000004,0.13202447005263912,135.05,0.2744751336300632,60.10000000000002,0.1221470235554743,60.210000000000036,0.12237058715931962,100.17000000000002,0.2035851472471191,100.39000000000004,0.20403227445480973,107.86000000000001,0.21921427555230374,136.19000000000005,0.27679206552446,75.05000000000001,0.15253134971444832,75.05000000000001,0.15253134971444832,72.20000000000005,0.14673901997845668,79.69,0.1619616690039225,33.129999999999995,0.06733329268540535,1.580000000000041,0.003211186309777942,79.14000000000004,0.16084385098469614,78.04000000000002,0.15860821494624314,113.16000000000003,0.22998597646484975
Jakarta,South,FullHouse_AC,645.63,131.65,48.629999999999995,645.63,645.63,590.74,519.23,565.3000000000001,475.12,581.49,581.36,527.47,527.19,501.21999999999997,463.29,545.11,545.11,554.8599999999999,545.23,605.87,638.99,546.4300000000001,547.0799999999999,502.19,0,0,513.98,0.7960906401499311,597.0,0.9246782212722457,0.0,0.0,0.0,0.0,54.889999999999986,0.0850177346158016,126.39999999999998,0.19577776745194614,80.32999999999993,0.12442110806499067,170.51,0.26409863234360237,64.13999999999999,0.09934482598392266,64.26999999999998,0.0995461797004476,118.15999999999997,0.18301503957374962,118.43999999999994,0.18344872450164945,144.41000000000003,0.22367300156436354,182.33999999999997,0.2824218205473723,100.51999999999998,0.15569288911605716,100.51999999999998,0.15569288911605716,90.7700000000001,0.14059136037668649,100.39999999999998,0.1555070241469572,39.75999999999999,0.06158325976178305,6.639999999999986,0.01028452829019715,99.19999999999993,0.15364837445595764,98.55000000000007,0.15264160587333314,143.44,0.2221705930641389
Jakarta,South,No_AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
Jakarta,West,Bedroom_AC_Only,689.69,258.55,147.01,689.69,689.69,640.5600000000001,577.26,586.22,471.74,602.58,602.29,550.0,549.47,567.98,538.45,603.99,603.99,581.1899999999999,570.1,645.5500000000001,737.61,590.9599999999999,574.9,518.87,0,0,431.14000000000004,0.6251214313677159,542.6800000000001,0.7868462642636547,0.0,0.0,0.0,0.0,49.129999999999995,0.0712349026374168,112.43000000000006,0.16301526772897976,103.47000000000003,0.15002392379184853,217.95000000000005,0.3160115414171585,87.11000000000001,0.12630312169235455,87.40000000000009,0.126723600458177,139.69000000000005,0.2025402717162784,140.22000000000003,0.20330873290898813,121.71000000000004,0.17647058823529416,151.24,0.21928692601023647,85.70000000000005,0.12425872493439087,85.70000000000005,0.12425872493439087,108.50000000000011,0.15731705548869798,119.59000000000003,0.17339674346445508,44.139999999999986,0.06399976801171538,-47.91999999999996,-0.06948049123519255,98.73000000000013,0.14315127086082172,114.79000000000008,0.1664370949267063,170.82000000000005,0.24767649233713704
