location,orientation,ac_scenario,case_name,Cooling,Fans,Heating,Interior Equipment,Interior Lighting,Total End Uses,hvac
Balikpapan,South,Bedroom_AC_Only,Baseline,464.83,30.82,0.0,2176.06,501.28,3173.0,495.65
Balikpapan,South,Bedroom_AC_Only,CeilingFan_1,70.96,4.62,0.0,2176.06,501.28,2752.92,75.58
Balikpapan,South,Bedroom_AC_Only,CeilingFan_2,12.46,0.8,0.0,2176.06,501.28,2690.6,13.260000000000002
Balikpapan,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,464.83,30.82,0.0,2176.06,501.28,3173.0,495.65
Balikpapan,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,464.83,30.82,0.0,2176.06,501.28,3173.0,495.65
Balikpapan,South,Bedroom_AC_Only,CoolRoof_1,436.07,28.89,0.0,2176.06,501.28,3142.31,464.96
Balikpapan,South,Bedroom_AC_Only,CoolRoof_2,398.12,26.35,0.0,2176.06,501.28,3101.81,424.47
Balikpapan,South,Bedroom_AC_Only,CoolWall_1,421.78,27.94,0.0,2176.06,501.28,3127.06,449.71999999999997
Balikpapan,South,Bedroom_AC_Only,CoolWall_2,366.2,24.22,0.0,2176.06,501.28,3067.76,390.41999999999996
Balikpapan,South,Bedroom_AC_Only,HybridNV_OperationSchd_1,448.39,29.71,0.0,2176.06,501.28,3155.44,478.09999999999997
Balikpapan,South,Bedroom_AC_Only,HybridNV_OperationSchd_2,448.39,29.71,0.0,2176.06,501.28,3155.44,478.09999999999997
Balikpapan,South,Bedroom_AC_Only,HybridNV_WindowOpen_1,434.08,28.73,0.0,2176.06,501.28,3140.15,462.81
Balikpapan,South,Bedroom_AC_Only,HybridNV_WindowOpen_2,434.03,28.73,0.0,2176.06,501.28,3140.1,462.76
Balikpapan,South,Bedroom_AC_Only,InsRoof_1,388.05,25.68,0.0,2176.06,501.28,3091.07,413.73
Balikpapan,South,Bedroom_AC_Only,InsRoof_2,366.02,24.2,0.0,2176.06,501.28,3067.56,390.21999999999997
Balikpapan,South,Bedroom_AC_Only,InsWall_1,412.45,27.31,0.0,2176.06,501.28,3117.1,439.76
Balikpapan,South,Bedroom_AC_Only,InsWall_2,412.45,27.31,0.0,2176.06,501.28,3117.1,439.76
Balikpapan,South,Bedroom_AC_Only,LowEWin_1,411.2,27.23,0.0,2176.06,501.28,3115.78,438.43
Balikpapan,South,Bedroom_AC_Only,LowEWin_2,404.37,26.78,0.0,2176.06,501.28,3108.48,431.15
Balikpapan,South,Bedroom_AC_Only,Overhang_1,444.62,29.47,0.0,2176.06,501.28,3151.44,474.09000000000003
Balikpapan,South,Bedroom_AC_Only,Shade_1,444.49,29.43,0.0,2176.06,501.28,3151.26,473.92
Balikpapan,South,Bedroom_AC_Only,Shade_2,400.14,26.48,0.0,2176.06,501.28,3103.97,426.62
Balikpapan,South,Bedroom_AC_Only,SolarWin_1,407.08,26.95,0.0,2176.06,501.28,3111.37,434.03
Balikpapan,South,Bedroom_AC_Only,SolarWin_2,381.14,25.22,0.0,2176.06,501.28,3083.7,406.36
Balikpapan,South,FullHouse_AC,Baseline,623.6,41.31,0.0,2176.06,501.28,3342.26,664.9100000000001
Balikpapan,South,FullHouse_AC,CeilingFan_1,97.37,6.34,0.0,2176.06,501.28,2781.05,103.71000000000001
Balikpapan,South,FullHouse_AC,CeilingFan_2,17.44,1.11,0.0,2176.06,501.28,2695.9,18.55
Balikpapan,South,FullHouse_AC,CeilingFan_NoSetback_1,623.6,41.31,0.0,2176.06,501.28,3342.26,664.9100000000001
Balikpapan,South,FullHouse_AC,CeilingFan_NoSetback_2,623.6,41.31,0.0,2176.06,501.28,3342.26,664.9100000000001
Balikpapan,South,FullHouse_AC,CoolRoof_1,582.88,38.59,0.0,2176.06,501.28,3298.81,621.47
Balikpapan,South,FullHouse_AC,CoolRoof_2,529.34,35.0,0.0,2176.06,501.28,3241.68,564.34
Balikpapan,South,FullHouse_AC,CoolWall_1,564.69,37.38,0.0,2176.06,501.28,3279.41,602.07
Balikpapan,South,FullHouse_AC,CoolWall_2,489.13,32.32,0.0,2176.06,501.28,3198.8,521.45
Balikpapan,South,FullHouse_AC,HybridNV_OperationSchd_1,606.76,40.17,0.0,2176.06,501.28,3324.27,646.93
Balikpapan,South,FullHouse_AC,HybridNV_OperationSchd_2,606.75,40.17,0.0,2176.06,501.28,3324.27,646.92
Balikpapan,South,FullHouse_AC,HybridNV_WindowOpen_1,586.94,38.82,0.0,2176.06,501.28,3303.1,625.7600000000001
Balikpapan,South,FullHouse_AC,HybridNV_WindowOpen_2,586.87,38.82,0.0,2176.06,501.28,3303.03,625.69
Balikpapan,South,FullHouse_AC,InsRoof_1,514.27,34.0,0.0,2176.06,501.28,3225.61,548.27
Balikpapan,South,FullHouse_AC,InsRoof_2,483.4,31.94,0.0,2176.06,501.28,3192.68,515.34
Balikpapan,South,FullHouse_AC,InsWall_1,548.55,36.29,0.0,2176.06,501.28,3262.18,584.8399999999999
Balikpapan,South,FullHouse_AC,InsWall_2,548.55,36.29,0.0,2176.06,501.28,3262.18,584.8399999999999
Balikpapan,South,FullHouse_AC,LowEWin_1,550.16,36.4,0.0,2176.06,501.28,3263.9,586.56
Balikpapan,South,FullHouse_AC,LowEWin_2,540.93,35.79,0.0,2176.06,501.28,3254.06,576.7199999999999
Balikpapan,South,FullHouse_AC,Overhang_1,596.25,39.49,0.0,2176.06,501.28,3313.08,635.74
Balikpapan,South,FullHouse_AC,Shade_1,596.94,39.49,0.0,2176.06,501.28,3313.77,636.4300000000001
Balikpapan,South,FullHouse_AC,Shade_2,538.06,35.58,0.0,2176.06,501.28,3250.99,573.64
Balikpapan,South,FullHouse_AC,SolarWin_1,544.54,36.02,0.0,2176.06,501.28,3257.9,580.56
Balikpapan,South,FullHouse_AC,SolarWin_2,509.42,33.68,0.0,2176.06,501.28,3220.44,543.1
Balikpapan,South,No_AC,Baseline,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,CeilingFan_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,CeilingFan_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,CeilingFan_NoSetback_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,CeilingFan_NoSetback_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,CoolRoof_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,CoolRoof_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,CoolWall_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,CoolWall_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,HybridNV_OperationSchd_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,HybridNV_OperationSchd_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,HybridNV_WindowOpen_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,HybridNV_WindowOpen_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,InsRoof_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,InsRoof_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
