location,orientation,ac_scenario,case_name,case_id,floor_area,end_use,Electricity [kWh]
Waingapu,South,Bedroom_AC_Only,Baseline,1,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,Baseline,1,28.76,Cooling,363.69
Waingapu,South,Bedroom_AC_Only,Baseline,1,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,Baseline,1,28.76,Interior Equipment,2176.06
Waingapu,South,Bedroom_AC_Only,Baseline,1,28.76,Fans,24.6
Waingapu,South,Bedroom_AC_Only,Baseline,1,28.76,Total End Uses,3065.63
Waingapu,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Cooling,330.56
Waingapu,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Interior Equipment,2176.06
Waingapu,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Fans,22.34
Waingapu,South,Bedroom_AC_Only,CoolRoof_1,2,28.76,Total End Uses,3030.24
Waingapu,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Cooling,288.09
Waingapu,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Interior Equipment,2176.06
Waingapu,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Fans,19.44
Waingapu,South,Bedroom_AC_Only,CoolRoof_2,3,28.76,Total End Uses,2984.87
Waingapu,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Cooling,312.52
Waingapu,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,CoolWall_1,4,28.76,Interior Equipment,2176.06
