966330,"BALIKPAPAN-SEPINGGA",,8.0,-1.267,116.900,3,IDN,5,CHN,Af
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code)        
01/01/1995,01:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,6,B,8,99,C,9,26.7,C,8,24.5,C,8,88,E,9,1010,C,8,310,B,8,2.0,B,8,8500,B,8,13250,B,8,5.2,F,9,,,,,,,0.0,1,B,8,13
01/01/1995,02:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,8,A,7,99,C,9,25.7,C,8,24.7,C,8,94,E,9,1009,C,8,310,A,7,1.5,A,7,7000,A,7,4500,A,7,5.2,F,9,,,,,,,0.0,1,B,8,13
01/01/1995,03:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,7,B,8,99,C,9,25.6,C,8,24.7,C,8,95,E,9,1009,C,8,310,B,8,1.1,B,8,6750,B,8,6000,B,8,5.2,F,9,,,,,,,0.0,1,B,8,13
01/01/1995,04:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,7,B,8,99,C,9,25.5,B,8,24.6,B,8,95,E,9,1009,B,8,310,B,8,0.8,B,8,6500,B,8,7500,B,8,5.2,F,9,,,,,,,0.0,1,B,8,5
01/01/1995,05:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,6,B,8,99,C,9,25.2,C,8,24.7,C,8,97,E,9,1010,B,8,330,B,8,0.4,B,8,6250,B,8,9000,B,8,5.2,F,9,,,,,,,0.0,1,B,8,5
01/01/1995,06:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,6,A,7,99,C,9,25.4,A,7,24.6,A,7,95,E,9,1010,A,7,330,B,8,0.0,A,7,6000,A,7,10500,A,7,5.2,F,9,,,,,,,4.0,1,B,8,5
01/01/1995,07:00,103,1097,32,E,5,160,E,5,20,E,5,3529,E,5,0,E,5,2246,E,5,87,E,5,6,B,8,99,C,9,25.6,C,8,24.5,C,8,94,E,9,1011,B,8,330,B,8,1.3,B,8,7500,B,8,7500,B,8,5.2,F,9,,,,,,,4.0,1,B,8,5
01/01/1995,08:00,424,1411,181,E,5,187,E,5,125,E,5,19667,E,5,7710,E,5,13613,E,5,602,E,5,6,A,7,99,C,9,26.2,A,7,24.4,A,7,90,E,9,1011,A,7,330,A,7,2.6,A,7,9000,A,7,4500,A,7,5.1,F,9,,,,,,,0.0,1,B,8,5
01/01/1995,09:00,725,1411,360,E,5,258,E,5,227,E,5,39764,E,5,16654,E,5,25225,E,5,1210,E,5,6,B,8,99,C,9,27.3,C,8,24.4,C,8,84,E,9,1011,B,8,330,B,8,2.9,B,8,9250,B,8,4500,B,8,5.1,F,9,,,,,,,0.0,1,B,8,5
01/01/1995,10:00,978,1411,531,E,5,322,E,5,307,E,5,59727,E,5,22522,E,5,34817,E,5,1747,E,5,7,B,8,99,C,9,28.6,C,8,24.4,C,8,78,E,9,1011,B,8,20,B,8,3.1,B,8,9500,B,8,4500,B,8,5.1,F,9,,,,,,,0.0,1,B,8,5
