967490,"JAKARTA-SOEKARNO-HA",,7.0,-6.117,106.650,8,IDN,5,SEA,Af
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code)        
01/01/2005,01:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,9,A,7,99,C,9,26.4,C,8,23.6,C,8,85,E,9,1010,C,8,270,A,7,2.1,A,7,9000,A,7,4500,A,7,4.8,F,9,,,,,,,0.0,1,B,8,5
01/01/2005,02:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,9,B,8,99,C,9,26.4,C,8,24.0,C,8,87,E,9,1010,C,8,270,B,8,2.4,B,8,8666,B,8,4000,B,8,5.0,F,9,,,,,,,0.0,1,B,8,5
01/01/2005,03:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,9,B,8,99,C,9,26.5,C,8,24.4,C,8,88,E,9,1010,C,8,300,B,8,2.8,B,8,8333,B,8,3500,B,8,5.1,F,9,,,,,,,0.0,1,B,8,5
01/01/2005,04:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,10,A,7,99,C,9,26.5,A,7,24.7,A,7,90,E,9,1010,A,7,300,A,7,3.1,A,7,8000,A,7,3000,A,7,5.2,F,9,,,,,,,0.0,1,B,8,5
01/01/2005,05:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,9,B,8,99,C,9,26.1,C,8,24.9,C,8,93,E,9,1010,B,8,300,B,8,3.6,B,8,9632,B,8,3300,B,8,5.3,F,9,,,,,,,0.0,1,B,8,0
01/01/2005,06:00,10,345,2,E,5,2,E,5,2,E,5,240,E,5,0,E,5,239,E,5,8,E,5,9,A,7,99,C,9,26.0,A,7,25.0,A,7,94,E,9,1011,B,8,300,A,7,4.1,A,7,11265,A,7,3600,A,7,5.3,F,9,,,,,,,0.0,1,B,8,0
01/01/2005,07:00,248,1411,27,E,5,3,E,5,27,E,5,3129,E,5,286,E,5,4345,E,5,110,E,5,10,A,7,99,C,9,24.5,A,7,24.5,A,7,100,E,9,1011,A,7,280,A,7,3.6,A,7,10000,A,7,4500,A,7,5.2,F,9,,,,,,,0.0,1,B,8,0
01/01/2005,08:00,567,1411,108,E,5,7,E,5,106,E,5,12228,E,5,715,E,5,15738,E,5,413,E,5,9,B,8,99,C,9,25.7,C,8,24.6,C,8,94,E,9,1012,B,8,280,B,8,3.6,B,8,10666,B,8,4200,B,8,5.2,F,9,,,,,,,0.0,1,B,8,0
01/01/2005,09:00,853,1411,251,E,5,24,E,5,236,E,5,27736,E,5,2558,E,5,32214,E,5,928,E,5,9,B,8,99,C,9,27.7,C,8,24.8,C,8,84,E,9,1012,B,8,270,B,8,3.6,B,8,11333,B,8,3900,B,8,5.3,F,9,,,,,,,0.0,1,B,8,0
01/01/2005,10:00,1086,1411,573,E,5,281,E,5,357,E,5,64732,E,5,20103,E,5,40613,E,5,2064,E,5,9,A,7,99,C,9,29.6,A,7,25.0,A,7,76,E,9,1012,A,7,270,A,7,3.6,A,7,12000,A,7,3600,A,7,5.3,F,9,,,,,,,0.0,1,B,8,0
01/01/2005,11:00,1249,1411,677,E,5,299,E,5,412,E,5,77223,E,5,21180,E,5,47345,E,5,2372,E,5,5,A,7,99,C,9,30.0,A,7,26.0,A,7,79,E,9,1011,B,8,250,A,7,3.6,A,7,11265,A,7,77777,A,7,5.7,F,9,,,,,,,0.0,1,B,8,0
01/01/2005,12:00,1331,1411,859,E,5,555,E,5,335,E,5,100586,E,5,34116,E,5,39517,E,5,1855,E,5,5,A,7,99,C,9,32.0,A,7,26.0,A,7,71,E,9,1011,B,8,270,A,7,4.6,A,7,11265,A,7,77777,A,7,5.7,F,9,,,,,,,0.0,1,B,8,0
01/01/2005,13:00,1326,1411,655,E,5,198,E,5,469,E,5,74755,E,5,14858,E,5,53979,E,5,2608,E,5,9,A,7,99,C,9,30.7,A,7,25.2,A,7,73,E,9,1010,A,7,340,A,7,4.6,A,7,10000,A,7,4500,A,7,5.4,F,9,,,,,,,0.0,1,B,8,16
01/01/2005,14:00,1235,1411,516,E,5,92,E,5,435,E,5,58534,E,5,6920,E,5,49755,E,5,2512,E,5,5,A,7,99,C,9,29.0,A,7,25.0,A,7,79,E,9,1009,B,8,300,A,7,5.1,A,7,11265,A,7,77777,A,7,5.3,F,9,,,,,,,0.0,1,B,8,0
01/01/2005,15:00,1064,1411,392,E,5,56,E,5,350,E,5,44108,E,5,3908,E,5,39618,E,5,2015,E,5,5,A,7,99,C,9,30.0,A,7,26.0,A,7,79,E,9,1009,B,8,260,A,7,3.1,A,7,11265,A,7,77777,A,7,5.7,F,9,,,,,,,0.0,1,B,8,0
01/01/2005,16:00,824,1411,344,E,5,124,E,5,272,E,5,38145,E,5,8409,E,5,30330,E,5,1493,E,5,9,A,7,99,C,9,29.9,A,7,25.2,A,7,76,E,9,1008,A,7,290,A,7,3.6,A,7,10000,A,7,3600,A,7,5.4,F,9,,,,,,,0.0,1,B,8,0
01/01/2005,17:00,533,1411,250,E,5,238,E,5,160,E,5,27254,E,5,11854,E,5,17541,E,5,803,E,5,5,A,7,99,C,9,30.0,A,7,26.0,A,7,79,E,9,1009,B,8,270,A,7,3.6,A,7,11265,A,7,77777,A,7,5.7,F,9,,,,,,,0.0,1,B,8,0
01/01/2005,18:00,213,1411,64,E,5,75,E,5,53,E,5,7007,E,5,0,E,5,5796,E,5,237,E,5,5,A,7,99,C,9,28.0,A,7,25.0,A,7,84,E,9,1009,B,8,250,A,7,3.6,A,7,11265,A,7,77777,A,7,5.3,F,9,,,,,,,0.0,1,B,8,0
01/01/2005,19:00,3,200,0,E,5,0,E,5,0,E,5,0,E,5,0,E,5,0,E,5,0,E,5,5,A,7,99,C,9,28.1,A,7,23.7,A,7,77,E,9,1009,A,7,230,A,7,3.6,A,7,10000,A,7,77777,A,7,4.9,F,9,,,,,,,0.0,1,B,8,0
01/01/2005,20:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,5,A,7,99,C,9,26.0,A,7,24.0,A,7,89,E,9,1010,B,8,250,A,7,4.6,A,7,11265,A,7,77777,A,7,5.0,F,9,,,,,,,0.0,1,B,8,0
01/01/2005,21:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,5,A,7,99,C,9,26.0,A,7,25.0,A,7,94,E,9,1010,B,8,260,A,7,3.1,A,7,8000,A,7,77777,A,7,5.3,F,9,,,,,,,0.0,1,B,8,5
01/01/2005,22:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,5,A,7,99,C,9,25.6,A,7,22.3,A,7,82,E,9,1011,A,7,270,A,7,3.1,A,7,8000,A,7,77777,A,7,4.4,F,9,,,,,,,0.0,1,B,8,5
01/01/2005,23:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,5,A,7,99,C,9,25.0,A,7,25.0,A,7,100,E,9,1010,B,8,270,A,7,2.6,A,7,8000,A,7,77777,A,7,5.3,F,9,,,,,,,0.0,1,B,8,5
01/01/2005,24:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,5,B,8,99,C,9,25.0,B,8,24.5,B,8,97,E,9,1010,B,8,250,B,8,2.6,B,8,8000,B,8,77777,B,8,5.2,F,9,,,,,,,0.0,1,B,8,0
01/02/2005,01:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,5,A,7,99,C,9,25.0,A,7,24.0,A,7,94,E,9,1009,B,8,250,A,7,2.6,A,7,8000,A,7,77777,A,7,5.0,F,9,,,,,,,0.0,1,B,8,0
01/02/2005,02:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,5,A,7,99,C,9,24.0,A,7,24.0,A,7,100,E,9,1009,B,8,260,A,7,1.0,A,7,8000,A,7,77777,A,7,5.0,F,9,,,,,,,0.0,1,B,8,0
01/02/2005,03:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,5,A,7,99,C,9,24.0,A,7,24.0,A,7,100,E,9,1009,B,8,240,A,7,2.1,A,7,8000,A,7,77777,A,7,5.0,F,9,,,,,,,0.0,1,B,8,5
01/02/2005,04:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,5,B,8,99,C,9,24.0,A,7,21.5,A,7,86,E,9,1008,A,7,270,B,8,0.0,A,7,8000,A,7,77777,A,7,4.2,F,9,,,,,,,0.0,1,B,8,5
01/02/2005,05:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,5,A,7,99,C,9,24.0,A,7,24.0,A,7,100,E,9,1009,B,8,270,A,7,1.0,A,7,8000,A,7,77777,A,7,5.0,F,9,,,,,,,0.0,1,B,8,5
01/02/2005,06:00,10,334,2,E,5,102,E,5,1,E,5,248,E,5,0,E,5,162,E,5,5,E,5,5,A,7,99,C,9,25.0,A,7,25.0,A,7,100,E,9,1009,B,8,270,A,7,2.6,A,7,8000,A,7,77777,A,7,5.3,F,9,,,,,,,0.0,1,B,8,5
01/02/2005,07:00,245,1411,102,E,5,203,E,5,67,E,5,11002,E,5,754,E,5,7219,E,5,301,E,5,5,A,7,99,C,9,27.0,A,7,26.0,A,7,94,E,9,1009,B,8,250,A,7,2.1,A,7,8000,A,7,77777,A,7,5.7,F,9,,,,,,,0.0,1,B,8,5
01/02/2005,08:00,565,1411,268,E,5,242,E,5,171,E,5,29245,E,5,12696,E,5,18751,E,5,866,E,5,3,A,7,99,C,9,28.0,A,7,26.0,A,7,89,E,9,1009,B,8,250,A,7,4.6,A,7,8000,A,7,77777,A,7,5.7,F,9,,,,,,,0.0,1,B,8,5
01/02/2005,09:00,852,1411,462,E,5,335,E,5,259,E,5,51499,E,5,21471,E,5,29110,E,5,1433,E,5,3,A,7,99,C,9,30.0,A,7,26.0,A,7,79,E,9,1010,B,8,260,A,7,5.1,A,7,11265,A,7,77777,A,7,5.7,F,9,,,,,,,0.0,1,B,8,0
01/02/2005,10:00,1085,1411,591,E,5,317,E,5,347,E,5,66821,E,5,22038,E,5,39525,E,5,2007,E,5,8,A,7,99,C,9,31.0,A,7,25.6,A,7,73,E,9,1010,A,7,260,A,7,4.1,A,7,10000,A,7,3600,A,7,5.6,F,9,,,,,,,0.0,1,B,8,0
01/02/2005,11:00,1248,1411,673,E,5,292,E,5,414,E,5,76661,E,5,20708,E,5,47576,E,5,2385,E,5,5,A,7,99,C,9,31.0,A,7,26.0,A,7,75,E,9,1009,B,8,260,A,7,5.1,A,7,11265,A,7,77777,A,7,5.7,F,9,,,,,,,0.0,1,B,8,0
01/02/2005,12:00,1331,1411,680,E,5,228,E,5,464,E,5,77582,E,5,16714,E,5,53389,E,5,2568,E,5,5,A,7,99,C,9,31.0,A,7,26.0,A,7,75,E,9,1009,B,8,270,A,7,6.7,A,7,11265,A,7,77777,A,7,5.7,F,9,,,,,,,0.0,1,B,8,0
01/02/2005,13:00,1327,1411,615,E,5,147,E,5,477,E,5,70153,E,5,11167,E,5,54798,E,5,2648,E,5,8,A,7,99,C,9,30.4,A,7,25.2,A,7,74,E,9,1008,A,7,290,A,7,6.2,A,7,10000,A,7,3600,A,7,5.4,F,9,,,,,,,0.0,1,B,8,0
01/02/2005,14:00,1236,1411,559,E,5,135,E,5,440,E,5,63181,E,5,9746,E,5,50138,E,5,2540,E,5,5,A,7,99,C,9,31.0,A,7,27.0,A,7,79,E,9,1008,B,8,310,A,7,5.1,A,7,11265,A,7,77777,A,7,6.1,F,9,,,,,,,0.0,1,B,8,0
01/02/2005,15:00,1066,1411,526,E,5,216,E,5,363,E,5,59073,E,5,15359,E,5,41050,E,5,2094,E,5,5,A,7,99,C,9,31.0,A,7,26.0,A,7,75,E,9,1007,B,8,270,A,7,5.7,A,7,11265,A,7,77777,A,7,5.7,F,9,,,,,,,0.0,1,B,8,0
01/02/2005,16:00,827,1411,492,E,5,462,E,5,222,E,5,55433,E,5,27572,E,5,25120,E,5,1218,E,5,8,A,7,99,C,9,31.9,A,7,25.7,A,7,70,E,9,1006,A,7,270,A,7,6.2,A,7,10000,A,7,3600,A,7,5.6,F,9,,,,,,,0.0,1,B,8,0
01/02/2005,17:00,536,1411,236,E,5,191,E,5,163,E,5,25770,E,5,10033,E,5,17931,E,5,821,E,5,5,A,7,99,C,9,30.0,A,7,25.0,A,7,75,E,9,1007,B,8,270,A,7,5.1,A,7,11265,A,7,77777,A,7,5.3,F,9,,,,,,,0.0,1,B,8,0
01/02/2005,18:00,215,1411,60,E,5,56,E,5,51,E,5,6533,E,5,0,E,5,5615,E,5,229,E,5,5,A,7,99,C,9,28.0,A,7,25.0,A,7,84,E,9,1007,B,8,270,A,7,5.1,A,7,11265,A,7,77777,A,7,5.3,F,9,,,,,,,0.0,1,B,8,0
01/02/2005,19:00,4,209,0,E,5,0,E,5,0,E,5,0,E,5,0,E,5,0,E,5,0,E,5,5,A,7,99,C,9,28.0,A,7,25.0,A,7,84,E,9,1008,B,8,260,A,7,4.6,A,7,8000,A,7,77777,A,7,5.3,F,9,,,,,,,0.0,1,B,8,0
