961630,"PADANG-TABING",,7.0,-0.883,100.350,3,IDN,5,SEA,Af
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code)        
01/01/1998,01:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,9,A,7,99,C,9,24.2,C,8,22.6,C,8,91,E,9,1012,C,8,260,B,8,0.0,A,7,13000,A,7,3600,A,7,4.5,F,9,,,,,,,0.0,1,B,8,2
01/01/1998,02:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,9,B,8,99,C,9,24.2,C,8,23.0,C,8,93,E,9,1011,C,8,260,B,8,0.0,B,8,13000,B,8,3600,B,8,4.6,F,9,,,,,,,0.0,1,B,8,2
01/01/1998,03:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,9,B,8,99,C,9,24.2,C,8,23.2,C,8,94,E,9,1011,C,8,260,B,8,0.0,B,8,13000,B,8,3600,B,8,4.7,F,9,,,,,,,0.0,1,B,8,2
01/01/1998,04:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,9,A,7,99,C,9,24.2,A,7,23.6,A,7,96,E,9,1011,A,7,260,B,8,0.0,A,7,13000,A,7,3600,A,7,4.8,F,9,,,,,,,7.0,1,B,8,2
01/01/1998,05:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,9,B,8,99,C,9,24.1,C,8,23.7,C,8,98,E,9,1011,B,8,260,B,8,0.0,B,8,12000,B,8,3900,B,8,4.9,F,9,,,,,,,7.0,1,B,8,2
01/01/1998,06:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,9,B,8,99,C,9,24.0,C,8,23.5,C,8,97,E,9,1011,B,8,260,B,8,0.0,B,8,11000,B,8,4200,B,8,4.8,F,9,,,,,,,7.0,1,B,8,2
01/01/1998,07:00,74,929,15,E,5,12,E,5,14,E,5,1685,E,5,0,E,5,1621,E,5,62,E,5,10,A,7,99,C,9,24.0,A,7,23.2,A,7,95,E,9,1011,A,7,260,B,8,0.0,A,7,10000,A,7,4500,A,7,4.7,F,9,,,,,,,0.0,1,B,8,2
01/01/1998,08:00,386,1411,91,E,5,23,E,5,85,E,5,10170,E,5,690,E,5,9491,E,5,405,E,5,9,B,8,99,C,9,24.3,C,8,23.1,C,8,93,E,9,1011,B,8,260,B,8,0.6,B,8,10833,B,8,4500,B,8,4.7,F,9,,,,,,,0.0,1,B,8,2
01/01/1998,09:00,691,1411,202,E,5,31,E,5,187,E,5,22569,E,5,1840,E,5,20992,E,5,987,E,5,8,B,8,99,C,9,25.3,C,8,23.3,C,8,89,E,9,1011,B,8,260,B,8,1.2,B,8,11666,B,8,4500,B,8,4.7,F,9,,,,,,,0.0,1,B,8,2
01/01/1998,10:00,950,1411,365,E,5,77,E,5,314,E,5,40942,E,5,5615,E,5,35349,E,5,1772,E,5,7,B,8,99,C,9,27.1,C,8,23.6,C,8,81,E,9,1011,B,8,260,B,8,1.8,B,8,12500,B,8,77777,B,8,4.8,F,9,,,,,,,0.0,1,B,8,2
