973400,"WAINGAPU-MAU-HAU",,8.0,-9.667,120.333,12,IDN,5,CHN,Aw
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code)        
01/01/1996,01:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,8,B,8,99,C,9,26.1,C,8,23.0,C,8,83,E,9,1009,C,8,240,B,8,1.1,B,8,14166,B,8,4620,B,8,4.6,F,9,,,,,,,0.0,1,?,0,61
01/01/1996,02:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,8,B,8,99,C,9,26.2,C,8,23.1,C,8,83,E,9,1010,C,8,240,B,8,1.3,B,8,15000,B,8,5460,B,8,4.7,F,9,,,,,,,0.0,1,B,8,61
01/01/1996,03:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,8,B,8,99,C,9,26.2,C,8,23.0,C,8,83,E,9,1010,C,8,240,B,8,1.5,B,8,15833,B,8,6300,B,8,4.6,F,9,,,,,,,0.0,1,B,8,61
01/01/1996,04:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,8,B,8,99,C,9,26.1,B,8,22.9,B,8,83,E,9,1010,B,8,240,B,8,1.7,B,8,16666,B,8,7140,B,8,4.6,F,9,,,,,,,0.0,1,B,8,61
01/01/1996,05:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,8,B,8,99,C,9,25.8,C,8,22.9,C,8,84,E,9,1010,B,8,240,B,8,2.0,B,8,17500,B,8,7980,B,8,4.6,F,9,,,,,,,0.0,1,B,8,61
01/01/1996,06:00,11,369,2,E,5,35,E,5,2,E,5,244,E,5,0,E,5,209,E,5,7,E,5,8,B,8,99,C,9,25.7,C,8,22.9,C,8,85,E,9,1010,B,8,240,B,8,2.2,B,8,18333,B,8,8820,B,8,4.6,F,9,,,,,,,0.0,1,B,8,61
01/01/1996,07:00,252,1411,76,E,5,70,E,5,64,E,5,8294,E,5,587,E,5,6959,E,5,287,E,5,8,B,8,99,C,9,25.9,C,8,22.7,C,8,83,E,9,1010,B,8,240,B,8,2.4,B,8,19166,B,8,9660,B,8,4.5,F,9,,,,,,,0.0,1,B,8,61
01/01/1996,08:00,570,1411,211,E,5,97,E,5,172,E,5,23232,E,5,5658,E,5,19021,E,5,875,E,5,8,A,7,99,C,9,25.8,A,7,22.6,A,7,83,E,9,1010,A,7,240,A,7,2.6,A,7,20000,A,7,10500,A,7,4.5,F,9,,,,,,,0.0,1,B,8,61
01/01/1996,09:00,857,1411,337,E,5,93,E,5,281,E,5,37627,E,5,6759,E,5,31525,E,5,1554,E,5,8,B,8,99,C,9,27.2,C,8,22.4,C,8,75,E,9,1010,B,8,240,B,8,2.4,B,8,20000,B,8,10500,B,8,4.5,F,9,,,,,,,0.0,1,B,8,61
01/01/1996,10:00,1093,1411,448,E,5,93,E,5,377,E,5,50664,E,5,7192,E,5,42845,E,5,2178,E,5,8,B,8,99,C,9,28.8,C,8,22.4,C,8,68,E,9,1010,B,8,350,B,8,2.3,B,8,20000,B,8,10500,B,8,4.5,F,9,,,,,,,0.0,1,B,8,61
01/01/1996,11:00,1261,1411,535,E,5,98,E,5,447,E,5,61036,E,5,7770,E,5,51390,E,5,2565,E,5,8,A,7,99,C,9,30.3,A,7,22.8,A,7,64,E,9,1010,A,7,350,A,7,2.1,A,7,20000,A,7,10500,A,7,4.6,F,9,,,,,,,0.0,1,B,8,61
01/01/1996,12:00,1349,1411,576,E,5,97,E,5,484,E,5,65977,E,5,7552,E,5,55824,E,5,2621,E,5,8,B,8,99,C,9,31.3,C,8,23.8,C,8,64,E,9,1010,B,8,350,B,8,2.3,B,8,20000,B,8,10500,B,8,4.9,F,9,,,,,,,0.0,1,B,8,61
